image,true_count
IMG_6869_jpg.rf.7d9225e9bf4d80e100d6f9aae708cb68.jpg,5
IMG_6600_jpg.rf.b46d72fceb985bc65797c1f95876a0aa.jpg,9
IMG_6665_jpg.rf.debf96e963d79b8e3c8c8767b43d958d.jpg,5
AdltStnkBug_123_5500_jpg.rf.de359026ad7e8c2458e30e1edfc7d20b.jpg,8
AdltStnkBug_301_4500_jpg.rf.575f2318256b3d114cdcb4d5389990f8.jpg,18
AdltStnkBug_116_3500_jpg.rf.677cb3f6f15344e9781b568cd50e8300.jpg,9
large-96-_jpeg.rf.d86a230bd1e42f0448461d9e509e251c.jpg,1
AdltStnkBug_230_3500_jpg.rf.fa8f3cdb04859ad4b5cf5f0b0b196d41.jpg,11
AdltStnkBug_007_5500_jpg.rf.583979a602fcfed722d670826e48fadd.jpg,9
IMG_6846_jpg.rf.ce14f6f9844d9982aff3940342804f9f.jpg,17
IMG_6872_jpg.rf.8f94fe38163d6a3d76dc566702e012a2.jpg,13
AdltStnkBug_302_5500_jpg.rf.ff52059a2cc4f14e8b24d49c6c7170b6.jpg,13
DSC_0091.jpg,0
large-77-_jpeg.rf.06c84eaf9747c9723ee9f7685d85e43d.jpg,1
IMG_8551_jpg.rf.14530a50dfbaef4f100fe51f9e588aa3.jpg,2
IMG_6392_jpg.rf.b08b10f58c96040865b35595c3a2c72a.jpg,10
AdltStnkBug_045_5500_jpg.rf.2ca566f518379d6c47d9b1fee440403f.jpg,7
JHEHRR6HDH7LPZ8LVZGL1Z5LBZGLFHGL1ZUH9ZMLZR4LLRNHRRGHOHMHVHEH1ZPHFHWHYHXLWZ7LZR4L6ZSL1HSLAZ4L_jpg.rf.6823b8ce0a8c8ecdb0408b1422f9f699.jpg,1
AdltStnkBug_238_4500_jpg.rf.5043df722ae5c14ec0f9cc6d66667244.jpg,8
large-18-_jpg.rf.dfe537f1001a7b3000438ed5a5840853.jpg,1
IMG_7881_jpg.rf.9e6e4c302ae3114be0d38df34ef8a940.jpg,7
IMG_8617_jpg.rf.48454100aa32bf4047202cd5b470d3ea.jpg,22
